,imdb_id,imdb_rating,imdb_votes,title,year_of_release,genres
2402,tt0376884,5,17,Shiv Ram,1991,Action|Crime|Drama
2403,tt0098976,4.8,532,Aaj Ka Arjun,1990,Action|Crime|Drama
2404,tt0177489,5.4,81,Aag Ka Gola,1990,Action|Drama
2405,tt0177489,5.4,81,Aag Ka Gola,1990,Action|Drama
2406,tt0177489,5.4,81,Aag Ka Gola,1990,Action|Drama
2407,tt0177489,5.4,81,Aag Ka Gola,1990,Action|Drama
2408,tt0175422,5.2,32,Aandhiyan,1990,Drama
2409,tt0243103,3.1,9,Aaj Ke Shahenshah,1990,Action
2410,tt0103304,6,31,Yeh Aag Kab Bujhegi,1991,Drama
2411,tt0236978,5,35,Amiri Garibi,1990,Family
2412,tt0149573,6.2,1406,Romance,1990,Drama|Musical|Romance
2413,tt0096775,5.3,13,Agneekaal,1990,Action|Crime|Drama
2414,tt0170416,5.7,43,Shikari: The Hunter,1991,Action|Adventure
2415,tt0358261,5.6,53,Vishnu-Devaa,1991,Action|Crime|Drama
2416,tt0440005,4,5,Aawaz De Kahan Hai,1990,Drama|Romance
2417,tt0154183,5.4,1046,First Rank,1990,Action|Drama|Sport
2418,tt0330019,5.2,29,Azaad Desh Ke Gulam,1990,Action|Drama
2419,tt0099025,4.2,32,Amba,1990,Family
2420,tt0099080,5.7,1056,Baaghi: A Rebel for Love,1990,Action|Romance
2421,tt0099081,6,247,Baap Numbri Beta Dus Numbri,1990,Action|Comedy|Crime
2422,tt0395464,4.7,50,Bahaar Aane Tak,1990,Family
2423,tt0259877,5.1,250,Bandh Darwaza,1990,Action|Drama|Horror
2424,tt0098999,7.7,7737,Agneepath,1990,Action|Crime|Drama
2425,tt0099076,6.4,126,Awaargi,1990,Drama
2426,tt0404843,4.8,52,C.I.D.,1990,Action|Drama
2427,tt0382604,4.8,10,Chor Pe Mor,1990,Comedy|Crime
2428,tt0099429,6.8,4532,Dil,1990,Comedy|Drama|Romance
2429,tt0101742,5.9,880,Deewana Mujh Sa Nahin,1990,Comedy|Drama|Romance
2430,tt0482034,6.2,18,Apmaan Ki Aag,1990,Action|Comedy|Crime
